ticker,ticker_full,name_yahoo,exchange,quote_type,currency,financial_currency,sector,industry,industry_key,summary,employees,website,hq_country,hq_city,hq_state,price,mcap_yahoo,shares_outstanding,float_shares,volume_avg,volume_avg_10d,beta,revenue_info,ebitda_info,gross_margin,operating_margin,profit_margin,total_cash,total_debt_info,held_insiders,held_institutions,analysts,revenue_stmt,cost_of_revenue,gross_profit,ebitda_stmt,operating_income,net_income,revenue_year,construction_in_progress,net_ppe,gross_ppe,total_assets,cash_and_equiv,total_debt,stockholders_equity,balance_year,capex,stock_issuance,operating_cf,free_cf,exploration_spend,cashflow_year,fetch_status,fetch_note,fetched_at
AA2,AA2.AX,Ariana Resources plc,ASX,EQUITY,AUD,GBP,Basic Materials,Gold,gold,"Ariana Resources plc engages in acquisition, exploration, and development of mineral resources in Turkey, Zimbabwe, and the United Kingdom and other territories. It explores for gold, silver, copper, nickel, molybdenum, zinc, and other metals. The company's flagship property is 100% owned Dokwe gold property located in the Tsholotsho district of Bulawayo, Zimbabwe. Ariana Resources plc was incorporated in 2005 and is based in London, the United Kingdom.",49,https://arianaresources.com,United Kingdom,London,,0.275,73997368,269081335,150042436,36625,12359,0.843,,-2367000,0.0,0.0,0.0,5436000,629000,0.72822,0.0054900004,,0.0,,,-12108000.0,-3053000.0,-12360000.0,2025,,19463000.0,379000.0,46486000.0,5436000.0,629000.0,45232000.0,2025,-1427000.0,9910000.0,-2575000.0,-4002000.0,,2025,ok,,2026-09-02T10:02:13
AAI,AAI.AX,Alcoa Corporation,ASX,EQUITY,AUD,USD,Basic Materials,Aluminum,aluminum,"Alcoa Corporation, together with its subsidiaries, engages in the bauxite mining, alumina refining, aluminum production, and energy generation business in Australia, Brazil, Canada, Iceland, Norway, Spain, the United States, and internationally. The company operates through two segments: Alumina and Aluminum. It operates bauxite and other aluminous ores mining and processes bauxite into alumina for sale to aluminum smelter customers and customers who process it into industrial chemical products through supply contracts to third parties, as well as aluminum smelting and casting businesses. The company also offers aluminium powder and scrap and primary aluminum in the form of commodity grade ingot and value-add ingot to customers that produce products for transportation, building and construction, packaging, wire, and other industrial markets. In addition, it provides energy that generates and sells electricity in the wholesale market to traders, large industrial consumers, distribution companies, and other generation companies. The company was formerly known as Alcoa Upstream Corporation and changed its name to Alcoa Corporation in May 2016. The company was founded in 1886 and is headquartered in Pittsburgh, Pennsylvania.",14900,https://www.alcoa.com,United States,Pittsburgh,PA,71.52,18874802176,263909445,262840612,384640,231642,1.623,13603000320,2311000064,0.19790001,0.18356001,0.09388,1352000000,2224999936,0.0,0.06387,4,12831000000.0,10658000000.0,2173000000.0,1845000000.0,758000000.0,1157000000.0,2025,908000000.0,6700000000.0,20537000000.0,16129000000.0,1597000000.0,2707000000.0,6118000000.0,2025,-618000000.0,0.0,1185000000.0,567000000.0,,2025,ok,,2026-09-02T10:02:16
AAJ,AAJ.AX,Aruma Resources Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Gold,gold,"Aruma Resources Limited operates as a mineral exploration and development company in Australia. It explores for gold, lithium, uranium, copper, and rare earth element deposits. The company was incorporated in 2010 and is based in Cottesloe, Australia.",,https://www.arumaresources.com,Australia,Cottesloe,WA,0.006,5025801,837633459,370238213,3703073,2134869,1.44,902826,-1353808,1.0,-1.48819,-1.45856,1015079,0,0.09616,0.0,,,,,-1088412.0,-2383243.0,-1125944.0,2024,,52910.0,170342.0,2407426.0,2143785.0,5879.0,2250082.0,2024,-8498.0,40000.0,,-992155.0,,2024,ok,,2026-09-02T10:02:19
AAM,AAM.AX,AuMEGA Metals Ltd,ASX,EQUITY,AUD,CAD,Basic Materials,Gold,gold,"AuMEGA Metals Ltd engages in the mineral exploration business in Canada. The company primarily explores gold, copper, lead, zinc, and silver deposits. Its flagship projects are the Cape Ray Shear Zone project located in Newfoundland, Canada. The company was formerly known as Matador Mining Limited and changed its name to AuMEGA Metals Ltd in June 2024. The company was incorporated in 2016 and is based in Osborne Park, Australia.",,https://aumegametals.com,Australia,Osborne Park,WA,0.037,53853772,1455507299,956544842,518266,181964,1.182,353341,-10488809,1.0,-11.7852,0.0,26714596,6135,0.21617001,0.46386,,,,,-14803461.0,-14915296.0,-11516513.0,2025,,150783.0,731709.0,4767010.9999,4015004.0,24266.0,2462606.0,2025,-48960.0,16174453.0,,-11586180.0,,2025,ok,,2026-09-02T10:02:22
AAR,AAR.AX,Astral Resources NL,ASX,EQUITY,AUD,AUD,Basic Materials,Gold,gold,"Astral Resources NL engages in the exploration and evaluation of gold properties in Western Australia. The company's flagship property is the 100% owned Mandilla Gold project located in the northern Widgiemooltha greenstone belt in Western Australia. The company was formerly known as Anglo Australian Resources NL and changed its name to Astral Resources NL in April 2022. Astral Resources NL was incorporated in 1985 and is based in South Perth, Australia.",,https://astralresources.com.au,Australia,South Perth,WA,0.195,352132864,1805809680,1312916282,6506079,6934848,0.828,,-3266157,0.0,0.0,0.0,75872432,318603,0.26328,0.27266002,3,,,,-2472776.0,-2599181.0,-2583863.0,2024,,29537468.0,29537468.0,35540560.0,5769340.0,119810.0,34512470.0,2024,-5035615.0,11741998.0,,-6589358.0,,2024,ok,,2026-09-02T10:02:25
AAU,AAU.AX,Antilles Gold Limited,ASX,EQUITY,AUD,USD,Basic Materials,Gold,gold,"Antilles Gold Limited engages in the exploration, evaluation, and development of mineral properties in Cuba. The company explores for gold, silver, antimony, and copper deposits. It holds interests in the La Demajagua open pit mine located on the Isle of Youth, southwest Cuba; and Nueva Sabana open pit mine situated in central Cuba. The company was formerly known as PanTerra Gold Limited and changed its name to Antilles Gold Limited in November 2020. The company was incorporated in 1984 and is based in Bowral, Australia.",,https://antillesgold.net,Australia,Bowral,NSW,0.009,29511838,3279093233,2164374782,4045094,5236384,1.192,187743,-548313,1.0,-1.41907,5.86365,3956993,64772,0.44591,0.0,,,,,1126366.0,-773515.0,1100860.0,2025,,64116.0,64116.0,21033727.0001,3956993.0,64772.0,20022255.0,2025,-1672444.0,4448149.0,,-854114.0,,2024,ok,,2026-09-02T10:02:27
ABR,ABR.AX,Albright Metals Ltd,ASX,EQUITY,AUD,AUD,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,"Albright Metals Ltd operates as a mineral exploration company in Australia. The company explores for gold, copper, nickel, manganese, and base metal deposits. It's flagship project owned 100% interests in the Golden Pike Gold and Antimony project comprising 146 contiguous mineral claims covering approximately 3,292 hectares located in New Brunswick, Canada. Albright Metals Ltd was formerly known as Bryah Resources Limited aand changed its name to Albright Metals Ltd in November 2025. The company was incorporated in 2017 and is based in Leederville, Australia.",,https://albrightmetals.com,Australia,Leederville,WA,0.002,3107578,1553788997,738034132,999410,107608,1.392,-395601,-1972758,0.0,11.126801,0.0,,,0.39263,0.0,,,,,-1782894.0,-1820490.0,-1641728.0,2024,,11197473.0,11467230.0,12425091.0,603083.0,,11968130.0,2024,-102925.0,1530750.0,,-2267863.0,,2024,ok,,2026-09-02T10:02:30
ABX,ABX.AX,ABx Group Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Aluminum,aluminum,"ABx Group Limited engages in the exploration and development of bauxite resources in Australia. The company develops the Sunrise project located in Queensland; the DL130 bauxite project located in Tasmania; Taralga and Penrose Projects located in New South Wales; and Deep Leads rare earth project located in Tasmania. It is also involved in producing industrial chemicals from aluminium smelter waste; and clean fluorine chemical production, as well as offers critical minerals, rare earth elements, fluorine, and bauxite critical minerals. The company was formerly known as Australian Bauxite Limited and changed its name to ABx Group Limited in December 2021. ABx Group Limited was incorporated in 2009 and is based in Melbourne, Australia.",,https://www.abxgroup.com.au,Australia,Melbourne,VIC,0.039,14621800,374917940,291922225,515511,778245,-0.181,115000,-1125000,0.0,-14.460871,0.0,3906000,1833000,0.15272,0.0,,115000.0,4073000.0,115000.0,-6130000.0,-4116000.0,-6471000.0,2025,,11030000.0,11891000.0,20656000.0,3906000.0,1760000.0,12797000.0,2025,-1793000.0,8125000.0,,-3908000.0,,2025,ok,,2026-09-02T10:02:33
ACM,ACM.AX,Australian Critical Minerals Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Other Precious Metals & Mining,other-precious-metals-mining,"Australian Critical Minerals Limited operates as a mineral exploration company in Australia. The company explores lithium, gold, silver, copper, iron ore, base metals, lithium, and uranium deposits. It holds 100% interests in the Cooletha and Shaw projects located in Pilbara, Western Australia. The company was incorporated in 2022 and is based in Nedlands, Australia.",,https://auscriticalminerals.com.au,Australia,Nedlands,WA,0.024,3599554,149981417,63050896,221183,93886,-0.933,,-1576485,0.0,0.0,0.0,637710,0,0.47775,0.0,,102934.0,,102934.0,-2718852.0,-2720642.0,-2720642.0,2024,,422968.0,422968.0,3053644.0,1098155.0,147005.0,2898993.0,2024,-227425.0,87063.0,,-1786502.0,,2023,ok,,2026-09-02T10:02:35
ACP,ACP.AX,Audalia Resources Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,"Audalia Resources Limited engages in the exploration and evaluation of mineral properties in Australia. The company explores for vanadium, titanium, and iron deposits. It holds a 100% interest in the Medcalf project that covers an area of approximately 38 square kilometers located to the southeast of Perth near Lake Johnston, Western Australia. Audalia Resources Limited was incorporated in 2010 and is based in West Perth, Australia.",,https://www.audalia.com.au,Australia,West Perth,WA,0.022,19296996,877136191,209498607,8980,8476,0.112,11126,-341745,1.0,-69.59354,0.0,623103,5901400,0.96023005,0.0,,,,,-400252.0,-404314.0,-937364.0,2024,,12253626.0,12253626.0,12395569.0,20708.0,5613349.0,2064622.0,2024,-460116.0,,,-720112.0,,2024,ok,,2026-09-02T10:02:38
ACS,ACS.AX,Accent Resources NL,ASX,EQUITY,AUD,AUD,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,"Accent Resources NL engages in the exploration and evaluation of mineral deposits in Western Australia. The company explores for iron ore, gold, base metals, and precious metal deposits. Its flagship project is the 100% owned Magnetite Range project comprising five exploration licenses, as well as one mining license covering an area of approximately 158 square kilometers located in the Midwest region of Western Australia. The company was incorporated in 2005 and is based in West Perth, Australia. Accent Resources NL operates as a subsidiary of Rich Mark Development Group Pty Ltd.",,https://www.accentresources.com.au,Australia,West Perth,WA,0.29,141965808,489537283,8141005,81392,191757,1.544,11000,-1150000,1.0,-91.83333,0.0,9746000,22333000,0.98511004,0.0,,,,,-1034000.0,-1380000.0,-3967000.0,2024,,12889000.0,13284000.0,22224000.0,6678000.0,28659000.0,1803000.0,2024,-2471000.0,5500000.0,,-2951000.0,,2024,ok,,2026-09-02T10:02:41
ADC,ADC.AX,ACDC Metals Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,"ACDC Metals Limited an integrated mineral exploration and rare earth technology company, focuses on the exploration and resource development of heavy mineral sands projects in Australia. The company explores for rare earth elements. It holds 80% interest in the Goschen Central project, 80% interest in the Douglas project, and 100% ownership in the Watchem project, as well as 80% interest in the Watchem North Project located in the Murray Basin, Victoria, Australia. The company was formerly known as ACDC Metals Head Co Ltd and changed its name to ACDC Metals Limited in October 2021. The company was incorporated in 2021 and is based in Melbourne, Australia.",,https://acdcmetals.com.au,Australia,Melbourne,VIC,0.044,5286346,120144226,47303036,88386,15297,-0.068,,,0.0,0.0,0.0,1952647,0,0.37240002,0.0,,,,,-785125.0,-785125.0,-501880.0,2024,,7184033.0,7184033.0,10907406.0,3596478.0,,10582527.0,2024,-773040.0,8263957.0,,-1524572.0,,2025,ok,,2026-09-02T10:02:44
ADN,ADN.AX,Andromeda Metals Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,"Andromeda Metals Limited operates as a mineral exploration company in Australia. The company explores for kaolinite, halloysite, and high purity alumina deposits. Its flagship project is the 100% owned Great White Project comprises three mining tenements and three exploration tenements located in the South Australia. The company was formerly known as Adelaide Resources Limited and changed its name to Andromeda Metals Limited in December 2016. The company was incorporated in 1993 and is headquartered in Adelaide, Australia.",,https://www.andromet.com.au,Australia,Adelaide,SA,0.006,27741800,4623633361,4120282544,7100676,12873615,2.054,,-6096357,0.0,0.0,0.0,10061519,260023,0.11849,0.00055,1,,,,-8299432.0,-8790247.0,-7269156.0,2024,3223233.0,149936309.0,151075125.0,158068015.0,5436262.0,581335.0,154875934.0,2024,-7895436.0,45331913.0,,-12947819.0,,2024,ok,,2026-09-02T10:02:46
ADY,ADY.AX,Admiralty Resources NL,ASX,EQUITY,AUD,AUD,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,"Admiralty Resources NL, together with its subsidiaries, engages in the mineral exploration business in Australia and Chile. The company explores for iron, nickel, and cobalt deposits. Its flagship project is the Mariposa Iron Ore Project located in Chile. The company was incorporated in 1981 and is headquartered in North Sydney, Australia.",,https://ady.com.au,Australia,North Sydney,NSW,0.006,15776877,2629479399,1469563447,0,0,0.067,,-1797850,0.0,-30.68376,0.0,3449933,17774624,0.48459998,0.0,,12341.0,,12341.0,-1831809.0,-2002516.0,-4045058.0,2024,,346187.0,551353.0,7092674.0,1754479.0,17161291.0,-13622151.0,2025,-22256.0,6942777.0,,-2152234.0,,2025,ok,,2026-09-02T10:02:49
AEM,AEM.AX,Advanced Engineered Materials Ltd,ASX,EQUITY,AUD,AUD,Basic Materials,Aluminum,aluminum,"Advanced Engineered Materials Ltd engages in the production and supply of high purity alumina, aluminum derivatives, and aluminum chloride products in Australia, Canada, and Japan. The company operates the Cap-Chat Plant which deploys the chlorine leach crystallisation process for aluminum production. Its products comprises alpha alumina, gamma alumina, and pucks made of compressed alumina. It uses Chlorine Leach Crystallization Purification process for the manufacturing of aluminum derivatives. Its alpha alumina and gamma alumina products are marketed under the brand name SupALOX; aluminum chlorides under SupACH; and alpha alumina pucks under SupPUCK. The company's products are used in a wide range of industries, such as ceramics, Single Crystal Sapphire for various semiconductor applications and luxury goods, batteries, polishing, phosphors, thermal management, and catalysis. The company was formerly known as Advanced Energy Minerals Limited and changed its name to Advanced Engineered Materials Ltd in June 2026. Advanced Engineered Materials Ltd was incorporated in 2001 and is based in Wyong, Australia.",,https://aemhpa.com,Australia,Wyong,NSW,0.35,206326128,589503244,273959843,148657,62891,,833347,-26646686,0.0,-32.80835,0.0,23667484,12303377,0.56488,0.01132,2,622315.0,466776.0,155539.0,-22563792.0,-24786355.0,-28662719.0,2025,2965811.0,121099058.0,126787930.0,217104863.0,39823506.0,12858540.0,188915353.0,2025,-11434941.0,44844923.0,,-31575567.0,,2025,ok,,2026-09-02T10:02:52
AEU,AEU.AX,Atomic Eagle Limited,ASX,EQUITY,AUD,AUD,Energy,Uranium,uranium,"Atomic Eagle Limited, a mineral resources company, engages in the acquisition, exploration, and development of uranium properties in Africa. Its flagship project is the 100% owned Muntanga Uranium Project with three contiguous mining permits covering an area of 691 square kilometers located in the Siavonga and Chirundu Districts in the southeastern region of Zambia. Atomic Eagle Ltd. was incorporated in 2006 and is based in Perth, Australia.",,https://www.atomiceagle.com.au,Australia,Perth,WA,0.51,200588400,393310581,29222769,961525,1221655,,64000,-15121452,1.0,-28.13158,0.0,16313000,0,0.40123,0.10941,1,32563787.0,20130254.0,12433533.0,-15279452.0,-15356585.0,-39101767.0,2022,5988.0,2391508.0,2763840.0,24008401.0,19338619.0,10732763.0,21694572.0,2022,-77532.0,21744558.0,,-14297966.0,,2025,ok,,2026-09-02T10:02:55
AEV,AEV.AX,Avenira Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,"Avenira Limited, together with its subsidiaries, engages in the development of mineral deposits in Australia. It primarily explores for gold and phosphate deposits. The company holds 100% interests in the Wonarah phosphate project located in the Northern Territory; and Jundee South Gold project located in Western Australia. The company was formerly known as Minemakers Limited and changed its name to Avenira Limited in November 2015. Avenira Limited was incorporated in 2005 and is based in West Perth, Australia.",,https://avenira.com,Australia,West Perth,WA,0.007,38010628,5430089695,1078714540,1106833,2266549,2.574,-9710,-3511579,0.0,-65.33766,0.0,2255134,0,0.71406996,0.0,,,,,-2865002.0,-2971429.0,-3122830.0,2024,,15363420.0,15363420.0,21893548.0,425959.0,3464317.0,15810753.0,2024,-4295989.0,6260157.0,,-5500943.0,,2024,ok,,2026-09-02T10:02:57
AGC,AGC.AX,Australian Gold and Copper Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Gold,gold,"Australian Gold and Copper Limited, an exploration company, explores for and develops multi-asset gold portfolio in Australia. The company primarily focuses on the exploration of gold, copper, and base metals. It holds a 100% interest in the Moorefield project comprising two exploration licenses covering 480 square kilometers; the Gundagai project consisting of an exploration license covering 265 square kilometers; and the Cargelligo project with an exploration license covering 227 square kilometers located 15km west of the town of Lake Cargelligo in New South Wales, Australia. The company was incorporated in 2019 and is based in Orange, Australia. Australian Gold and Copper Limited is a subsidiary of Geozen Resources Group Co Limited.",,https://www.austgoldcopper.com.au,Australia,Orange,NSW,0.155,51388448,331538379,110359151,183615,178107,1.469,,-2236189,0.0,0.0,0.0,8338118,0,0.66209,0.0,,,,,-912417.0,-938382.0,-644414.0,2024,,16101189.0,16182420.0,43762945.0,27238989.0,,30382431.0,2024,-2074884.0,15050000.0,,-2650747.0,,2024,ok,,2026-09-02T10:03:00
